No,Title,By,Date,Url
1,Backdoored images downloaded 5M times removed from Docker Hub,cel1ne,2018-06-14 00:00:05 -0700 PDT,https://arstechnica.com/information-technology/2018/06/backdoored-images-downloaded-5-million-times-finally-removed-from-docker-hub/
2,"The Transistor, Part 3: Endless Reinvention",Hooke,2018-06-14 13:12:56 -0700 PDT,https://technicshistory.wordpress.com/2018/03/31/the-transistor-part-3-endless-reinvention/
3,Neural scene representation and rendering,johnmoberg,2018-06-14 11:13:13 -0700 PDT,https://deepmind.com/blog/neural-scene-representation-and-rendering/
4,Blot â€“ a blogging platform with no interface,firloop,2018-06-14 13:01:20 -0700 PDT,https://blot.im
5,Caching Beyond RAM: The Case for NVMe,Rafuino,2018-06-14 14:23:01 -0700 PDT,https://memcached.org/blog/nvm-caching/
6,Tesla employees reveal how they were fired,uladzislau,2018-06-14 22:44:51 -0700 PDT,https://amp-thisisinsider-com.cdn.ampproject.org/v/s/amp.thisisinsider.com/tesla-employees-reveal-how-they-were-fired-2018-6?amp_js_v=0.1#webview=1
7,Tenjin (YC S14) is hiring for various engineering and marketing roles,amirmanji,2018-06-14 22:37:16 -0700 PDT,https://angel.co/tenjin/jobs
8,Fitbit employees charged with stealing trade secrets from competitor Jawbone,burkhardtferep,2018-06-14 19:40:26 -0700 PDT,https://www.mercurynews.com/2018/06/14/6-fitbit-employees-charged-with-stealing-trade-secrets-from-competitor-jawbone/
9,Ubiq: A Scalable and Fault-Tolerant Log Processing Infrastructure (2016),SriniK,2018-06-14 13:51:56 -0700 PDT,https://ai.google/research/pubs/pub45805
10,"Making Pulled Pork with React Native, Expo, and Express",dceddia,2018-06-14 10:01:06 -0700 PDT,https://daveceddia.com/perfect-pulled-pork-react-native-expo-express/
11,Ask HN: How do you manage your manager?,singluere,2018-06-14 17:38:37 -0700 PDT,
12,Ask HN: Bipolar is affecting my performance badly. Should I tell my employer?,throwrawaygr0v,2018-06-14 22:33:52 -0700 PDT,
13,A Connectome-Based Convolutional Network Model of the Drosophila Visual System,beefman,2018-06-14 10:08:14 -0700 PDT,https://arxiv.org/abs/1806.04793
14,Massive Martian dust storm endangers NASA rover,kevindeasis,2018-06-14 13:16:46 -0700 PDT,https://www.nature.com/articles/d41586-018-05425-1
15,Earliest images of the moon were much better than we realised,theindieg,2018-06-14 05:10:01 -0700 PDT,http://www.worldofindie.co.uk/?p=682
16,The Cyberpunk Sensibility (2016),zabana,2018-06-14 03:13:37 -0700 PDT,https://www.ribbonfarm.com/2016/10/27/the-cyberpunk-sensibility/
17,Lemming Suicide Myth: Disney Film Faked Bogus Behavior,merraksh,2018-06-14 13:43:30 -0700 PDT,http://www.adfg.alaska.gov/index.cfm?adfg=wildlifenews.view_article&articles_id=56
18,Twitter meets TensorFlow,hurrycane,2018-06-14 14:29:15 -0700 PDT,https://blog.twitter.com/engineering/en_us/topics/insights/2018/twittertensorflow.html
19,State of React Native 2018,acemarke,2018-06-14 11:51:02 -0700 PDT,https://facebook.github.io/react-native/blog/2018/06/14/state-of-react-native-2018
20,EU copyright reforms draw fire from scientists,touristtam,2018-06-14 14:21:26 -0700 PDT,https://www.nature.com/articles/d41586-018-03837-7
g-maps-streetside-imagery-now-integrated-into-openstreetmap-id-editor
